TYPE,Longitude,Latitude
Pharmacy,72.6297155,23.1841103
Pharmacy,72.6371008,23.2113911
Pharmacy,72.638181,23.176912
Pharmacy,72.6072628,23.1956953
Pharmacy,72.6324183,23.1967929
Pharmacy,72.6088362,23.1903006
Pharmacy,72.6309892,23.1972013
Pharmacy,72.6351631,23.1825831
Pharmacy,72.6503185,23.1841911
Pharmacy,72.6380308,23.1989115
Pharmacy,72.6145469,23.1951375
Pharmacy,72.6150707,23.1984254
Pharmacy,72.6286068,23.1818248
Pharmacy,72.6286068,23.1818248
Pharmacy,72.6352722,23.1812694
Pharmacy,72.6426192,23.1971443
Pharmacy,72.611653,23.196463
Pharmacy,72.636633,23.2095637
Pharmacy,72.6411094,23.1777375
Pharmacy,72.6289764,23.1840266
Pharmacy,72.6195981,23.1876425
Pharmacy,72.6292811,23.180392
Pharmacy,72.6341061,23.1794164
Pharmacy,72.635801,23.209501
Pharmacy,72.6326232,23.1773372
Pharmacy,72.635667,23.1813334
Pharmacy,72.636876,23.1778556
Pharmacy,72.6345838,23.1813328
Pharmacy,72.634746,23.179589
Pharmacy,72.6121449,23.1969168
Pharmacy,72.615094,23.1820222
Pharmacy,72.637478,23.177451
Pharmacy,72.6068008,23.1962729
Pharmacy,72.634746,23.179589
Pharmacy,72.6353655,23.1803228
Pharmacy,72.604951,23.1974627
Pharmacy,72.6416747,23.1751694
Pharmacy,72.6380308,23.1989115
Pharmacy,72.580733,23.025323
Pharmacy,72.6313314,23.1787479
Pharmacy,72.6502142,23.1832834
Pharmacy,72.6341061,23.1794164
Pharmacy,72.6092559,23.1970295
Pharmacy,72.6367653,23.1620934
Pharmacy,72.6490071,23.2156532
Pharmacy,72.6149392,23.1982689
Pharmacy,72.6341061,23.1794164
Pharmacy,72.6337281,23.213022
Pharmacy,72.6372802,23.1407342
Pharmacy,72.6350565,23.1846623
Pharmacy,72.6416747,23.1751694
Pharmacy,72.6686195,23.2324126
Pharmacy,72.6534911,23.2295157
Pharmacy,72.6389623,23.2163033
Pharmacy,72.6099607,23.1871763
Pharmacy,72.6169906,23.1974005
Pharmacy,72.6053281,23.1946125
Pharmacy,72.6065179,23.1953303
Pharmacy,72.6374466,23.1822125
Pharmacy,72.6513031,23.2324728
Pharmacy,72.6263049,23.2043573
Pharmacy,72.6292215,23.2117838
Pharmacy,72.5397031,23.1641125
Pharmacy,72.63127,23.2062525
Pharmacy,72.642147,23.2151638
Pharmacy,72.607309,23.191786
Pharmacy,72.6069584,23.1955966
Pharmacy,72.6350565,23.1846623
Pharmacy,72.6165028,23.2224804
Pharmacy,72.6333933,23.2051844
Pharmacy,72.6079256,23.1964288
Pharmacy,72.6412656,23.2197625
Pharmacy,72.6149058,23.2237585
Pharmacy,72.619775,23.1870964
Pharmacy,72.6076696,23.1967563
Pharmacy,72.6117876,23.1964651
Pharmacy,72.6312069,23.2151399
Pharmacy,72.6346658,23.1805525
Pharmacy,72.6578668,23.2516567
Pharmacy,72.6317482,23.2129597
Pharmacy,72.6337281,23.213022
Pharmacy,72.6366884,23.2169004
Pharmacy,72.6460313,23.2233553
Pharmacy,72.6166476,23.1852636
Pharmacy,72.6323141,23.2050478
Pharmacy,72.6358899,23.2082258
Pharmacy,72.6454336,23.1822999
Pharmacy,72.642325,23.215345
Pharmacy,72.582313,23.1622698
Pharmacy,72.6490944,23.2432517
Pharmacy,72.6595259,23.1565718
Pharmacy,72.6146069,23.1951567
Pharmacy,72.6404334,23.2135177
Pharmacy,72.6104906,23.1983794
Pharmacy,72.6300634,23.1826655
Pharmacy,72.6127423,23.209655
Pharmacy,72.6438281,23.2413375
Pharmacy,72.627201,23.174901
hospital,72.6406327,23.2182682
hospital,72.6417108,23.2152591
hospital,72.6420844,23.2147844
hospital,72.6410054,23.1774456
hospital,72.6485549,23.2295913
hospital,72.646942,23.2269079
hospital,72.641845,23.2196609
hospital,72.5753408,23.1764265
hospital,72.5010726,23.2401161
hospital,72.5003548,23.2407385
hospital,72.5000206,23.2409219
hospital,72.6446103,23.3515082
hospital,72.6428381,23.2150357
hospital,72.6493518,23.2448913
hospital,72.6835687,23.326277
hospital,72.5008647,23.2397411
hospital,72.6336991,23.2054057
hospital,72.6686785,23.2324833
hospital,72.7287599,23.2219327
